id,latitude,longitude,earliestTime,latestTime,duration,areaType
38_4,32.092564290365,118.784192165799,549,564,3,COMMERCIAL
39_1,32.089474826389,118.784003363716,50,65,3,RESIDENTIAL
39_2,32.089474826389,118.784003363716,75,90,3,RESIDENTIAL
39_3,32.089474826389,118.784003363716,100,115,3,RESIDENTIAL
43_2,32.090238444011,118.787086046007,762,777,3,RESIDENTIAL
47_2,32.077561035157,118.784115397136,562,577,3,COMMERCIAL
50_2,32.08085124,118.776128472223,110,140,3,RESIDENTIAL
52_1,32.069111056858,118.776392415365,62,77,3,COMMERCIAL
52_2,32.069111056858,118.776392415365,87,102,3,COMMERCIAL
58_1,32.058303222657,118.787111545139,631,646,3,COMMERCIAL
58_2,32.058303222657,118.787111545139,656,671,3,COMMERCIAL
59_1,32.062683648004,118.784069824219,750,765,3,COMMERCIAL
59_2,32.062683648004,118.784069824219,774,789,3,COMMERCIAL
60_1,32.0646403,118.777414550782,772,802,3,RESIDENTIAL
67_1,32.084557291667,118.80929796007,619,649,3,INDUSTRIAL
67_2,32.084557291667,118.80929796007,669,699,3,INDUSTRIAL
67_3,32.084557291667,118.80929796007,664,709,3,INDUSTRIAL
71_1,32.099260796441,118.818798556858,644,659,3,INDUSTRIAL
