id,latitude,longitude,earliestTime,latestTime,duration,areaType
39_1,32.089474826389,118.784003363716,50,65,3,RESIDENTIAL
39_2,32.089474826389,118.784003363716,75,90,3,RESIDENTIAL
39_3,32.089474826389,118.784003363716,100,115,3,RESIDENTIAL
42_1,32.087116699219,118.779844563803,1237,1252,3,COMMERCIAL
42_2,32.087116699219,118.779844563803,1250,1265,3,COMMERCIAL
42_3,32.087116699219,118.779844563803,1263,1278,3,COMMERCIAL
49_1,32.083238932292,118.780158148872,1093,1123,3,RESIDENTIAL
49_2,32.083238932292,118.780158148872,1118,1133,3,RESIDENTIAL
50_2,32.08085124,118.776128472223,110,140,3,RESIDENTIAL
51_2,32.077356770834,118.772612575955,1199,1214,3,COMMERCIAL
51_3,32.077356770834,118.772612575955,1225,1240,3,COMMERCIAL
52_1,32.069111056858,118.776392415365,62,77,3,COMMERCIAL
52_2,32.069111056858,118.776392415365,87,102,3,COMMERCIAL
64_2,32.059131130643,118.774574924046,1084,1114,3,RESIDENTIAL
73_1,32.105014648438,118.834159071181,950,1025,3,COMMERCIAL
73_2,32.105014648438,118.834159071181,942,1032,3,COMMERCIAL
74_1,32.103710394966,118.819152560764,1056,1086,3,COMMERCIAL
74_2,32.103710394966,118.819152560764,1080,1095,3,COMMERCIAL
79_1,32.057165798612,118.808388400608,1319,1334,3,COMMERCIAL
79_2,32.057165798612,118.808388400608,1328,1358,3,COMMERCIAL
