id,latitude,longitude,earliestTime,latestTime,duration,areaType
38_2,32.092564290365,118.784192165799,499,514,3,COMMERCIAL
38_3,32.092564290365,118.784192165799,524,539,3,COMMERCIAL
39_1,32.089474826389,118.784003363716,50,65,3,RESIDENTIAL
41_2,32.087044813369,118.775889485678,392,407,3,RESIDENTIAL
52_1,32.069111056858,118.776392415365,62,77,3,COMMERCIAL
56_1,32.064729546441,118.784070095487,486,501,3,COMMERCIAL
56_2,32.064729546441,118.784070095487,511,526,3,COMMERCIAL
57_3,32.058829481337,118.784069552952,415,445,3,RESIDENTIAL
66_2,32.088720160591,118.809446885851,324,339,3,INDUSTRIAL
70_2,32.09893717,118.832748209636,311,326,3,INDUSTRIAL
